scenario,label,perturbation_type,perturbation_level,trial_seed,derived_seed,node_count,edge_count_before,edge_count_after,probability_shift_mean_absolute,threshold,roc_auc,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,support,positive_support
remove_20,Remove 20% edges,edge_removal,0.2,50,30050,2889,16524,13219,0.017008157446980476,0.4798469841480255,0.6106019159946475,0.18949628470907418,0.5275181723779855,0.5722832072187289,0.14334941419710545,0.6303030303030303,0.23357664233576642,"[[1316, 1243], [122, 208]]",2889,330
remove_20,Remove 20% edges,edge_removal,0.2,51,30051,2889,16524,13219,0.016616296023130417,0.4798469841480255,0.6054164150295451,0.19333825226328846,0.523018345448252,0.5750222032754272,0.14402173913043478,0.6424242424242425,0.23529411764705882,"[[1299, 1260], [118, 212]]",2889,330
noise_5,Add 5% noise edges,noise_addition,0.05,42,40042,2889,16524,17350,0.009015997871756554,0.4798469841480255,0.6043938801852049,0.18794027164661758,0.5219799238490828,0.5691569860385803,0.141785957736878,0.6303030303030303,0.23149693934335003,"[[1300, 1259], [122, 208]]",2889,330
noise_5,Add 5% noise edges,noise_addition,0.05,43,40043,2889,16524,17350,0.008324422873556614,0.4798469841480255,0.6057231162741128,0.18395002280197525,0.5150571131879543,0.5652492095633947,0.1398789509078682,0.6303030303030303,0.22894881673087508,"[[1280, 1279], [122, 208]]",2889,330
noise_5,Add 5% noise edges,noise_addition,0.05,44,40044,2889,16524,17350,0.00908469408750534,0.4798469841480255,0.605313391831563,0.18740528273036772,0.520595361716857,0.5683754307435432,0.14140040788579197,0.6303030303030303,0.23098278734036645,"[[1296, 1263], [122, 208]]",2889,330
noise_5,Add 5% noise edges,noise_addition,0.05,45,40045,2889,16524,17350,0.009390663355588913,0.4798469841480255,0.6110258505334707,0.18958969637144654,0.5240567670474212,0.5795676578208817,0.14576271186440679,0.6515151515151515,0.23822714681440443,"[[1299, 1260], [115, 215]]",2889,330
noise_5,Add 5% noise edges,noise_addition,0.05,46,40046,2889,16524,17350,0.00893473532050848,0.4798469841480255,0.6013014079837058,0.18151848648651808,0.5185185185185185,0.5685228604923798,0.14131169709263017,0.6333333333333333,0.2310668877833057,"[[1289, 1270], [121, 209]]",2889,330
noise_5,Add 5% noise edges,noise_addition,0.05,47,40047,2889,16524,17350,0.008431877009570599,0.4798469841480255,0.6046840029841202,0.18953899577558506,0.5154032537210107,0.5667643610785462,0.14045698924731181,0.6333333333333333,0.2299229922992299,"[[1280, 1279], [121, 209]]",2889,330
noise_5,Add 5% noise edges,noise_addition,0.05,48,40048,2889,16524,17350,0.008624251000583172,0.4798469841480255,0.6092555093727426,0.18907989002464515,0.520595361716857,0.5749742442005045,0.14382174206617152,0.6454545454545455,0.23522915516289342,"[[1291, 1268], [117, 213]]",2889,330
noise_5,Add 5% noise edges,noise_addition,0.05,49,40049,2889,16524,17350,0.008588993921875954,0.4798469841480255,0.6082602105462598,0.18624591416776962,0.5264797507788161,0.5756563288216278,0.14452054794520547,0.6393939393939394,0.23575418994413408,"[[1310, 1249], [119, 211]]",2889,330
noise_5,Add 5% noise edges,noise_addition,0.05,50,40050,2889,16524,17350,0.00907064788043499,0.4798469841480255,0.6016915935438796,0.1867720444268417,0.5122879889235029,0.5610465735905361,0.1381623071763917,0.6242424242424243,0.22624931356397585,"[[1274, 1285], [124, 206]]",2889,330
noise_5,Add 5% noise edges,noise_addition,0.05,51,40051,2889,16524,17350,0.008166063576936722,0.4798469841480255,0.6031528651106611,0.18398532022951947,0.523018345448252,0.5697431525098582,0.14207650273224043,0.6303030303030303,0.2318840579710145,"[[1303, 1256], [122, 208]]",2889,330
noise_10,Add 10% noise edges,noise_addition,0.1,42,50042,2889,16524,18176,0.013420316390693188,0.4798469841480255,0.604051061612609,0.18359886098460804,0.5313257182416061,0.5731127215886889,0.14394993045897078,0.6272727272727273,0.2341628959276018,"[[1328, 1231], [123, 207]]",2889,330
noise_10,Add 10% noise edges,noise_addition,0.1,43,50043,2889,16524,18176,0.01379332598298788,0.4798469841480255,0.6057621940388647,0.1829522475778389,0.5295950155763239,0.5760950655440691,0.14492753623188406,0.6363636363636364,0.23608768971332209,"[[1320, 1239], [120, 210]]",2889,330
noise_10,Add 10% noise edges,noise_addition,0.1,44,50044,2889,16524,18176,0.014024561271071434,0.4798469841480255,0.6067426906817295,0.1881338305083256,0.5289027345102112,0.5836228640449039,0.14764183185235816,0.6545454545454545,0.24093697713329615,"[[1312, 1247], [114, 216]]",2889,330
noise_10,Add 10% noise edges,noise_addition,0.1,45,50045,2889,16524,18176,0.013592623174190521,0.4798469841480255,0.6090826198680829,0.19011160833984314,0.5250951886465905,0.5735550108351983,0.1436388508891929,0.6363636363636364,0.234375,"[[1307, 1252], [120, 210]]",2889,330
noise_10,Add 10% noise edges,noise_addition,0.1,46,50046,2889,16524,18176,0.012898116372525692,0.4798469841480255,0.6105036294954231,0.1901750618798838,0.5306334371754933,0.5727219439411702,0.14375,0.6272727272727273,0.23389830508474577,"[[1326, 1233], [123, 207]]",2889,330
noise_10,Add 10% noise edges,noise_addition,0.1,47,50047,2889,16524,18176,0.014331619255244732,0.4798469841480255,0.6066580221914337,0.18854432880755978,0.5316718587746625,0.5719883477210559,0.14355400696864112,0.6242424242424243,0.23342776203966006,"[[1330, 1229], [124, 206]]",2889,330
noise_10,Add 10% noise edges,noise_addition,0.1,48,50048,2889,16524,18176,0.014581019058823586,0.4798469841480255,0.6087285516359373,0.19066112526104728,0.527172031844929,0.5773668691605386,0.14520547945205478,0.6424242424242425,0.23687150837988827,"[[1311, 1248], [118, 212]]",2889,330
noise_10,Add 10% noise edges,noise_addition,0.1,49,50049,2889,16524,18176,0.014162353239953518,0.4798469841480255,0.6043701966914159,0.1839226825285271,0.5244029075804777,0.5692049451135032,0.1419753086419753,0.6272727272727273,0.23154362416107382,"[[1308, 1251], [123, 207]]",2889,330
noise_10,Add 10% noise edges,noise_addition,0.1,50,50050,2889,16524,18176,0.014294796623289585,0.4798469841480255,0.6070251163451632,0.19074254529420695,0.5147109726548978,0.5650538207396355,0.13978494623655913,0.6303030303030303,0.22882288228822883,"[[1279, 1280], [122, 208]]",2889,330
noise_10,Add 10% noise edges,noise_addition,0.1,51,50051,2889,16524,18176,0.014721356332302094,0.4798469841480255,0.6110169692232998,0.19059753564415766,0.5313257182416061,0.5876301111940034,0.14931506849315068,0.6606060606060606,0.2435754189944134,"[[1317, 1242], [112, 218]]",2889,330
